"Catalogo de sismos - Servicio Sismologico Nacional (SSN) | UNAM - Mexico. DOI: 10.21766/SSNMX/EC/MX"
"Informacion sujeta a cambios. Archivo generado el 2025-04-29 a las 17:50:55 (tiempo del centro de Mexico)."
"Sismicidad del 1965-09-01 al 2023-12-31, mag. 5.5 a 9.9, todas las profundidades, lat. 15.13 a 32.26, long. -118.0 a -85.0."
"Total: 375 eventos."
Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,"Referencia de localizacion","Fecha UTC","Hora UTC","Estatus"
1965-12-09,00:07:51,6.5,17.249,-100.07,65.0,"27 km al NORTE de COYUCA DE BENITEZ, GRO",1965-12-09,06:07:51,revisado
1968-07-01,21:44:52,6.7,17.508,-100.256,62.0,"38 km al NORESTE de ATOYAC DE ALVAREZ, GRO",1968-07-02,03:44:52,revisado
1968-08-02,08:06:37,7.3,16.6,-97.8,16.0,"39 km al NORESTE de PINOTEPA NACIONAL, OAX",1968-08-02,14:06:37,revisado
1968-11-28,04:36:08,6.6,15.231,-94.775,23.0,"114 km al SURESTE de SALINA CRUZ, OAX",1968-11-28,10:36:08,revisado
1969-08-17,14:13:09,6.5,25.25,-109.24,15.0,"65 km al SUROESTE de LOS MOCHIS, SIN",1969-08-17,20:13:09,revisado
1969-08-17,14:15:00,6.7,25.12,-109.55,15.0,"93 km al SUROESTE de LOS MOCHIS, SIN",1969-08-17,20:15:00,revisado
1969-11-01,05:08:22,6.6,23.105,-107.99,10.0,"144 km al SUROESTE de LA CRUZ, SIN",1969-11-01,11:08:22,revisado
1970-02-03,23:08:50,6.6,15.524,-99.493,21.0,"141 km al SUR de SAN MARCOS, GRO",1970-02-04,05:08:50,revisado
1971-09-30,02:18:00,6.5,26.88,-110.8,14.0,"92 km al SUROESTE de PUEBLO YAQUI, SON",1971-09-30,08:18:00,revisado
1972-10-20,02:17:46,6.6,18.7,-106.756,10.0,"238 km al OESTE de CIHUATLAN, JAL",1972-10-20,08:17:46,revisado
1972-11-12,22:43:45,6.5,15.541,-95.04,14.0,"73 km al SUR de SALINA CRUZ, OAX",1972-11-13,04:43:45,revisado
1973-01-30,15:01:12,7.6,18.412,-103.019,24.0,"43 km al SURESTE de COALCOMAN, MICH",1973-01-30,21:01:12,revisado
1973-08-28,03:50:41,7.3,18.248,-96.551,82.0,"30 km al SUROESTE de TIERRA BLANCA, VER",1973-08-28,09:50:41,revisado
1974-05-31,08:04:59,6.3,27.23,-111.24,33.0,"83 km al SUROESTE de H GUAYMAS, SON",1974-05-31,14:04:59,revisado
1974-06-25,02:44:45,5.6,15.44,-95.47,30.0,"80 km al SURESTE de CRUCECITA, OAX",1974-06-25,08:44:45,revisado
1974-07-18,13:21:23,5.6,16.78,-98.6,33.0,"23 km al NOROESTE de OMETEPEC, GRO",1974-07-18,19:21:23,revisado
1974-10-06,11:09:33,5.5,16.69,-99.89,50.0,"20 km al SUR de ACAPULCO, GRO",1974-10-06,17:09:33,revisado
1974-10-24,18:05:34,6.0,15.84,-93.48,100.0,"34 km al NOROESTE de PIJIJIAPAN, CHIS",1974-10-25,00:05:34,revisado
1975-03-14,00:04:31,5.5,16.11,-93.63,155.0,"14 km al ESTE de TONALA, CHIS",1975-03-14,06:04:31,revisado
1975-04-23,05:14:48,6.0,16.34,-98.87,11.0,"62 km al SUROESTE de OMETEPEC, GRO",1975-04-23,11:14:48,revisado
1975-07-08,03:37:25,6.5,29.304,-113.468,5.0,"160 km al NORESTE de GUERRERO NEGRO, BCS",1975-07-08,09:37:25,revisado
